epoch,acc,f1_acc,loss,val_acc,val_f1_acc,val_loss
0,0.5032552083333334,0.43720263863603276,0.6937820414702097,0.5,0.6663470963637034,0.6922637472550074
1,0.5285808135426154,0.5389053602256223,0.6898315331155774,0.5193823897102345,0.6718857393314898,0.690990856928205
2,0.5489487503893898,0.5835266842087058,0.6849967096387635,0.5195466498507777,0.66519338667941,0.6903031951651153
3,0.5696452019562389,0.6040760075842347,0.6761412782675333,0.530716161220365,0.6753650921716327,0.6903221592326672
4,0.6039750315200013,0.6278099111439207,0.665321073221941,0.5036136656020537,0.11132436450301583,0.701591443216597
5,0.6158015787523147,0.6166425103740216,0.6516614674581961,0.5218462556326436,0.2293156820120542,0.6950947816989111
6,0.6378120907659443,0.6450666249503287,0.638209854334632,0.4678055196413073,0.15423483230202958,0.7150639033975489
7,0.6509526937455918,0.6465516609681891,0.6261386138224257,0.5272667558371785,0.3018517369274711,0.6950799143737312
8,0.6642575548293556,0.660164375107799,0.6091431321358399,0.5223390289267792,0.33440125724802505,0.6985097344225559
9,0.6803547941275557,0.68311329497301,0.5949795322098651,0.49211563669272385,0.2152645783927218,0.7246968421923503
10,0.7020367921260278,0.6943562287695304,0.5728383047821958,0.5717805504172296,0.40766284825297444,0.6934067312427326
11,0.7089356127612381,0.7075032793112715,0.5473354323308195,0.6000328532342999,0.47372753270038953,0.6756096424317078
12,0.7169842322145279,0.7136772686172566,0.5403127844167601,0.558968460904471,0.356054485744935,0.7148092891947512
13,0.7392578125,0.7298226604859034,0.5086697414517403,0.64697265625,0.5760540664196014,0.6306408047676086
14,0.7573915883683344,0.7489167731475579,0.4796262582795849,0.6387976335946584,0.5754144649154723,0.6398267419360157
15,0.7606767407384715,0.7356803320083919,0.483525274695924,0.6681997369529383,0.6263111528209881,0.6046339526439621
16,0.7884362688515723,0.7846070539779011,0.4312328829401896,0.636333773389909,0.5564398743633215,0.6673834762498051
